Redshift,AppMag,DAppMag
 0.2604, 21.0399, 0.1436
 0.1636, 19.8173, 0.0547
 0.2986, 21.2489, 0.1899
 0.1777, 19.9634, 0.0651
 0.2170, 20.3851, 0.0986
 0.2687, 20.8237, 0.1532
 0.2570, 20.7793, 0.1398
 0.2559, 20.7211, 0.1386
 0.1951, 20.1083, 0.0790
 0.2771, 20.7442, 0.1631
 0.2809, 21.3740, 0.1677
 0.2357, 20.6716, 0.1170
 0.1955, 20.3543, 0.0794
 0.2075, 20.4230, 0.0898
 0.2666, 20.7961, 0.1506
 0.2141, 20.4440, 0.0959
 0.0364, 16.3877, 0.0025
 0.2195, 20.6250, 0.1010
 0.1170, 18.9906, 0.0272
 0.1593, 19.7654, 0.0518
 0.1784, 19.9127, 0.0656
 0.1639, 19.8301, 0.0550
 0.2811, 21.0930, 0.1680
 0.2858, 20.9248, 0.1737
 0.1862, 20.1022, 0.0717
 0.2282, 20.7607, 0.1094
 0.1272, 19.2273, 0.0324
 0.2731, 21.0946, 0.1583
 0.1054, 18.7794, 0.0219
 0.2732, 20.9248, 0.1584
 0.2400, 20.6748, 0.1214
 0.1339, 19.3031, 0.0361
 0.3027, 21.4922, 0.1952
 0.1716, 19.9459, 0.0605
 0.2128, 20.4066, 0.0946
 0.0903, 18.4084, 0.0159
 0.2794, 20.6944, 0.1658
 0.2536, 20.7653, 0.1360
 0.2945, 21.0455, 0.1846
 0.0895, 18.4143, 0.0156
 0.2790, 21.0734, 0.1654
 0.1734, 19.8889, 0.0618
 0.2390, 20.6170, 0.1204
 0.1946, 20.0432, 0.0786
 0.2634, 20.7726, 0.1470
 0.2988, 21.3787, 0.1900
 0.2899, 20.9987, 0.1788
 0.2514, 21.0908, 0.1335
 0.2609, 20.7366, 0.1441
 0.2705, 21.0919, 0.1552
 0.2891, 21.1203, 0.1778
 0.2967, 21.6163, 0.1874
 0.2429, 20.6935, 0.1245
 0.2279, 20.2798, 0.1091
 0.1374, 19.3826, 0.0380
 0.2013, 20.3843, 0.0843
 0.2385, 20.5480, 0.1199
 0.2634, 20.8933, 0.1470
 0.2533, 20.7211, 0.1357
 0.1450, 19.5195, 0.0426
 0.2891, 21.1603, 0.1777
 0.0717, 17.8924, 0.0099
 0.2807, 21.1299, 0.1675
 0.2983, 21.0516, 0.1895
 0.1694, 19.9415, 0.0588
 0.2192, 20.2319, 0.1007
 0.2581, 20.8565, 0.1410
 0.1689, 19.7661, 0.0585
 0.2365, 20.5351, 0.1178
 0.2143, 20.5174, 0.0960
 0.2554, 20.9155, 0.1379
 0.2893, 21.2558, 0.1781
 0.1064, 18.7946, 0.0223
 0.2915, 21.1909, 0.1808
 0.2597, 20.7305, 0.1428
 0.2052, 20.3828, 0.0877
 0.2838, 21.3298, 0.1712
 0.1933, 20.0921, 0.0775
 0.2999, 21.4395, 0.1915
 0.2800, 20.8243, 0.1666
 0.2127, 20.4548, 0.0945
 0.2441, 20.6194, 0.1257
 0.2770, 20.9600, 0.1630
 0.2893, 21.2934, 0.1780
 0.2647, 21.0703, 0.1485
 0.1588, 19.7687, 0.0515
 0.2782, 20.9488, 0.1644
 0.2824, 21.0142, 0.1695
 0.1545, 19.6643, 0.0486
 0.2804, 20.9102, 0.1671
 0.2776, 21.2315, 0.1637
 0.1777, 19.9211, 0.0651
 0.2175, 20.2230, 0.0990
