Redshift,K-band mag,K-band dmag
 0.198, 18.804, 0.056
 0.109, 20.864, 0.327
 0.148, 21.233, 0.435
 0.114, 21.731, 0.626
 0.042, 21.277, 0.450
 0.175, 21.613, 0.576
 0.145, 20.629, 0.270
 0.150, 21.929, 0.718
 0.159, 16.230, 0.005
 0.169, 19.556, 0.109
 0.079, 19.969, 0.156
 0.158, 18.212, 0.033
 0.095, 19.070, 0.071
 0.092, 21.544, 0.548
 0.127, 21.731, 0.626
 0.145, 20.191, 0.188
 0.178, 19.153, 0.076
 0.164, 20.482, 0.240
 0.182, 21.739, 0.630
 0.197, 18.901, 0.061
 0.174, 20.581, 0.260
 0.173, 20.218, 0.192
 0.189, 21.515, 0.537
 0.122, 17.168, 0.013
 0.083, 19.973, 0.156
 0.033, 19.939, 0.152
 0.167, 21.873, 0.691
 0.183, 20.715, 0.290
 0.176, 21.902, 0.705
 0.130, 20.774, 0.304
 0.153, 21.363, 0.480
 0.138, 20.516, 0.246
 0.196, 18.112, 0.030
 0.083, 17.248, 0.014
 0.105, 18.672, 0.049
 0.193, 21.066, 0.383
 0.180, 18.344, 0.037
 0.172, 21.852, 0.681
 0.030, 20.625, 0.269
 0.183, 18.772, 0.054
 0.137, 21.684, 0.606
 0.176, 20.549, 0.253
 0.104, 19.506, 0.104
 0.187, 19.852, 0.141
 0.165, 19.914, 0.148
 0.074, 17.787, 0.022
 0.133, 19.506, 0.104
 0.104, 19.824, 0.137
 0.185, 21.769, 0.643
 0.161, 20.699, 0.286
 0.143, 16.208, 0.005
 0.160, 15.021, 0.002
 0.077, 13.749, 0.001
 0.132, 20.937, 0.346
 0.160, 20.938, 0.347
 0.175, 20.026, 0.163
 0.167, 17.176, 0.013
 0.167, 19.548, 0.108
 0.183, 15.827, 0.004
 0.167, 18.622, 0.047
 0.121, 20.713, 0.290
 0.186, 21.752, 0.635
 0.199, 21.996, 0.751
 0.162, 21.013, 0.368
 0.183, 18.439, 0.040
 0.179, 15.910, 0.004
 0.162, 15.113, 0.002
 0.086, 20.497, 0.243
 0.172, 21.680, 0.604
 0.039, 19.152, 0.076
 0.148, 21.208, 0.427
 0.100, 20.901, 0.337
 0.100, 18.528, 0.043
 0.182, 21.551, 0.551
 0.152, 21.528, 0.542
 0.098, 21.524, 0.540
 0.198, 19.774, 0.131
 0.051, 19.365, 0.092
 0.101, 21.685, 0.606
 0.101, 19.934, 0.151
 0.179, 20.162, 0.183
 0.066, 19.020, 0.068
 0.054, 15.429, 0.003
 0.191, 17.240, 0.013
 0.179, 21.322, 0.466
 0.150, 16.147, 0.005
 0.196, 20.165, 0.184
 0.168, 20.679, 0.282
 0.025, 18.611, 0.047
 0.163, 21.461, 0.516
 0.191, 21.735, 0.628
 0.164, 20.212, 0.191
 0.093, 18.282, 0.035
 0.177, 20.358, 0.216
 0.052, 21.518, 0.538
 0.052, 20.880, 0.331
 0.096, 21.078, 0.387
 0.032, 18.858, 0.058
 0.111, 20.861, 0.326
 0.062, 19.889, 0.145
 0.094, 20.350, 0.215
 0.187, 21.719, 0.621
 0.143, 21.357, 0.478
 0.181, 18.042, 0.028
 0.130, 21.483, 0.525
 0.144, 21.048, 0.378
 0.070, 20.588, 0.261
 0.191, 21.948, 0.727
 0.071, 17.893, 0.024
 0.036, 21.981, 0.743
 0.166, 20.276, 0.202
 0.147, 14.124, 0.001
 0.129, 21.681, 0.605
 0.140, 21.847, 0.679
 0.187, 14.591, 0.001
 0.194, 19.858, 0.141
 0.180, 21.349, 0.475
 0.073, 21.701, 0.613
 0.136, 21.891, 0.699
 0.078, 20.377, 0.220
 0.146, 20.963, 0.353
 0.160, 21.663, 0.597
 0.044, 11.915, 0.000
 0.147, 20.141, 0.180
 0.145, 21.982, 0.744
 0.144, 21.971, 0.738
 0.139, 14.110, 0.001
 0.188, 20.090, 0.173
 0.178, 17.469, 0.017
 0.125, 21.366, 0.481
 0.042, 21.127, 0.401
 0.137, 19.675, 0.121
 0.152, 15.835, 0.004
 0.095, 16.619, 0.008
 0.174, 21.816, 0.664
 0.094, 20.597, 0.264
 0.188, 21.818, 0.665
 0.139, 19.326, 0.089
 0.183, 21.489, 0.527
 0.200, 18.764, 0.054
 0.154, 18.321, 0.036
 0.104, 17.354, 0.015
 0.173, 20.327, 0.211
 0.169, 16.253, 0.005
 0.064, 15.950, 0.004
 0.163, 21.303, 0.459
 0.183, 20.263, 0.200
 0.192, 19.320, 0.088
 0.144, 19.423, 0.097
 0.194, 20.818, 0.315
 0.105, 19.969, 0.156
 0.009, 18.148, 0.031
 0.151, 21.329, 0.468
 0.121, 21.318, 0.464
 0.190, 17.634, 0.019
 0.116, 20.776, 0.305
 0.152, 17.896, 0.025
 0.084, 21.069, 0.384
 0.091, 21.730, 0.626
 0.063, 21.439, 0.508
 0.139, 19.727, 0.126
 0.096, 20.792, 0.308
 0.117, 19.758, 0.130
 0.167, 20.988, 0.360
 0.127, 20.554, 0.254
 0.158, 20.420, 0.228
 0.064, 16.247, 0.005
 0.069, 19.063, 0.070
 0.164, 21.576, 0.561
 0.114, 19.355, 0.091
 0.177, 14.777, 0.001
 0.146, 19.690, 0.122
 0.156, 20.740, 0.296
 0.169, 21.003, 0.365
 0.173, 20.650, 0.275
 0.096, 20.022, 0.163
 0.197, 19.010, 0.067
 0.182, 19.442, 0.098
 0.193, 21.562, 0.555
 0.176, 18.713, 0.051
 0.165, 20.893, 0.334
 0.138, 17.649, 0.020
 0.047, 12.674, 0.000
 0.110, 19.515, 0.105
 0.057, 18.950, 0.064
 0.111, 21.839, 0.675
 0.197, 19.810, 0.136
 0.128, 21.169, 0.415
 0.090, 20.597, 0.263
 0.136, 21.749, 0.634
 0.123, 19.939, 0.152
 0.098, 18.252, 0.034
 0.065, 21.302, 0.459
 0.183, 20.839, 0.320
 0.075, 18.805, 0.056
 0.200, 19.808, 0.135
 0.177, 19.653, 0.118
 0.188, 21.489, 0.527
 0.198, 21.174, 0.416
 0.151, 20.962, 0.353
 0.160, 20.719, 0.291
 0.174, 20.876, 0.330
 0.167, 18.091, 0.029
 0.163, 21.899, 0.703
 0.133, 13.351, 0.000
 0.086, 21.299, 0.458
 0.180, 21.485, 0.525
 0.127, 19.092, 0.072
 0.106, 20.183, 0.187
 0.159, 21.691, 0.609
 0.163, 19.096, 0.072
 0.093, 15.505, 0.003
 0.043, 16.119, 0.005
 0.096, 21.638, 0.587
 0.156, 19.255, 0.083
 0.116, 20.696, 0.286
 0.070, 20.102, 0.174
 0.168, 19.291, 0.086
 0.193, 15.917, 0.004
 0.175, 19.600, 0.113
 0.057, 21.927, 0.717
 0.066, 18.701, 0.051
 0.153, 18.421, 0.039
 0.160, 16.605, 0.008
 0.134, 18.746, 0.053
 0.129, 19.925, 0.150
 0.078, 21.743, 0.632
 0.178, 17.329, 0.015
 0.161, 18.637, 0.048
 0.058, 19.814, 0.136
 0.167, 21.132, 0.403
 0.090, 18.161, 0.031
 0.083, 18.029, 0.028
 0.174, 20.512, 0.246
 0.180, 19.804, 0.135
 0.112, 20.917, 0.341
 0.173, 20.860, 0.326
 0.158, 20.300, 0.206
 0.180, 15.095, 0.002
 0.166, 18.710, 0.051
 0.162, 20.799, 0.310
 0.130, 19.985, 0.158
 0.185, 19.281, 0.085
 0.125, 19.686, 0.122
 0.115, 20.627, 0.270
 0.179, 18.553, 0.044
 0.185, 17.086, 0.012
 0.172, 21.617, 0.578
 0.054, 21.096, 0.392
 0.161, 21.161, 0.412
 0.144, 20.458, 0.235
 0.111, 20.764, 0.302
 0.175, 20.720, 0.291
 0.129, 19.097, 0.072
 0.127, 20.777, 0.305
 0.170, 20.143, 0.180
 0.190, 19.086, 0.072
 0.173, 19.679, 0.121
 0.168, 21.563, 0.556
 0.081, 16.539, 0.007
 0.168, 17.429, 0.016
 0.173, 17.049, 0.011
 0.200, 18.174, 0.032
 0.108, 21.865, 0.687
 0.118, 21.813, 0.663
 0.159, 20.636, 0.272
 0.193, 21.069, 0.384
 0.196, 21.407, 0.496
 0.166, 21.191, 0.422
 0.186, 20.675, 0.281
 0.115, 18.742, 0.053
 0.105, 20.820, 0.315
 0.153, 21.285, 0.453
 0.196, 21.844, 0.677
 0.160, 19.869, 0.143
 0.124, 18.198, 0.032
 0.089, 17.887, 0.024
 0.167, 18.483, 0.042
 0.177, 20.092, 0.173
 0.144, 18.907, 0.061
 0.151, 17.308, 0.014
 0.082, 21.004, 0.365
 0.194, 19.586, 0.112
 0.063, 18.076, 0.029
 0.096, 21.601, 0.571
 0.142, 20.924, 0.343
 0.073, 21.454, 0.513
 0.146, 19.758, 0.130
 0.186, 21.351, 0.476
 0.076, 18.203, 0.032
 0.195, 20.043, 0.166
 0.038, 21.661, 0.596
 0.055, 21.905, 0.706
 0.179, 18.429, 0.040
 0.197, 21.415, 0.499
 0.173, 19.176, 0.078
 0.194, 21.824, 0.668
 0.190, 18.926, 0.062
 0.060, 15.933, 0.004
 0.156, 21.510, 0.535
 0.177, 19.450, 0.099
 0.127, 18.652, 0.049
 0.166, 17.871, 0.024
 0.096, 19.894, 0.146
 0.193, 17.069, 0.012
 0.177, 20.194, 0.188
 0.105, 15.474, 0.003
 0.176, 21.942, 0.724
 0.123, 19.618, 0.115
 0.194, 19.260, 0.084
 0.171, 18.857, 0.058
 0.119, 20.815, 0.314
 0.106, 21.974, 0.740
 0.191, 21.488, 0.526
 0.076, 17.351, 0.015
 0.155, 17.526, 0.017
 0.158, 21.170, 0.415
 0.162, 17.183, 0.013
 0.077, 21.593, 0.568
 0.078, 19.121, 0.074
 0.170, 21.345, 0.474
 0.118, 21.902, 0.704
 0.111, 15.082, 0.002
 0.085, 19.962, 0.155
 0.132, 21.829, 0.670
 0.113, 19.916, 0.149
 0.179, 20.622, 0.269
 0.132, 17.156, 0.012
 0.155, 20.337, 0.212
 0.069, 20.254, 0.198
 0.082, 21.087, 0.389
 0.183, 20.978, 0.358
 0.100, 21.650, 0.591
 0.190, 17.840, 0.023
 0.153, 18.830, 0.057
